"","x"
"217",2.51805346076491
"218",1.4089823341409
"219",0.394030417250654
"220",-2.14308910586471
"221",-0.536682285381815
"222",5.10702514367356
"223",0.0312035116563677
"224",-2.14308588878078
"225",3.66568898845668
"226",NA
"227",3.42622171453063
"228",0.147971757710225
"229",0.946342058213129
"230",-1.53853212059222
"231",2.68093396465355
"232",-2.7201526107451
"233",3.24361719989831
"234",1.10043279052262
"235",0.472364137077711
"236",2.97132326491719
"237",1.54035315896368
"238",NA
"239",-2.72015334440673
"240",-2.72015525724313
"241",3.49200793295711
"242",-1.54401452531535
"243",NA
"244",1.97446883980966
"245",1.87785256042686
"246",NA
"247",-2.14308158993616
"248",-0.531035205067031
"249",-2.14308782198034
"250",-2.14308588878078
"251",3.19872339054111
"252",2.24503547238972
"253",2.44950286337653
"254",2.28107546578684
"255",-0.946063250140149
"256",3.01334453796249
"257",-0.348948077677115
"258",1.75455993967902
"259",1.38721465189674
"260",NA
"261",-0.155966289912142
"262",1.59264910178241
"263",1.62886401000106
"264",2.05958770653141
"265",2.63164103931094
"266",1.89269993098143
"267",-0.359422250150827
"268",2.21836339113952
"269",-1.30579701452502
"270",2.95782751387598
"271",-0.561651874516352
"272",6.79227752968178
"273",1.68627221199604
"274",0.217300110054687
"275",1.64413804386997
"276",5.33068256428874
"277",0.137336796841058
"278",1.52012398453017
"279",NA
"280",NA
"281",-2.14308588878078
"282",NA
"283",4.69099660113875
"284",1.86148617107959
"285",NA
"286",2.26120343158537
"287",NA
"288",NA
"289",3.01014261186358
"290",1.24041051903464
"291",3.82429990283364
"292",-2.14308887617559
"293",1.34233948395679
"294",2.22424422997372
"295",3.02753702167341
"296",NA
"297",-0.82598894390768
"298",0.917899925501552
"299",1.97765174550525
"300",1.3177573596461
"301",1.2677919072014
"302",3.20119943748156
"303",NA
"304",2.85233976447671
"305",NA
"306",-2.72015525724313
"307",-2.14308940037756
"308",-0.915715765071394
"309",-2.14308588878078
"310",-2.7201618254654
"311",NA
"312",1.62007751045695
"313",-0.315149846164142
"314",0.564239504598015
"315",-2.14308588878078
"316",0.351840559419709
"317",0.906281876601062
"318",-2.72015525724313
"319",0.479237504621516
"320",-2.14308588878078
"321",-2.72016254930421
"322",NA
"323",NA
"324",2.55030436326156
"325",0.236643053271836
"326",1.71852446148621
"327",-1.1151412768426
"328",NA
"329",1.36766807859253
