RefSeq,JOA1,JOA2,JOA3,JOA4,JOA5,JOB1,JOB2,JOB3,JOB4,JOB5
NM_000395.1,0,0,0,0,0,0,0,0,0,0
NM_000396.2,0,2,0,1,0,0,0,0,0,1
NM_000397.2,0,1,6,10,1,0,1,0,2,2
NM_000398.4,4,14,18,36,23,0,5,20,14,9
NM_000399.2,0,0,0,0,0,0,0,0,1,0
NM_000400.2,1,2,2,2,3,0,0,2,0,3
NM_000401.2,1,23,9,8,6,0,1,5,4,4
NM_000402.3,3,6,27,24,14,1,0,2,2,4
NM_000403.3,1,5,8,4,3,0,1,6,3,1
NM_000404.2,0,0,1,0,0,0,0,0,0,0
NM_000405.3,2,3,4,6,4,1,7,0,4,5
NM_000406.2,0,0,0,0,0,0,0,0,0,0
NM_000407.4,0,1,0,1,0,0,0,0,0,0
NM_000408.3,0,0,0,0,0,0,0,0,0,0
NM_000409.2,1,1,0,1,2,0,0,2,2,0
NM_000410.3,0,0,0,0,0,0,0,0,0,0
NM_000411.4,7,0,2,5,7,2,2,3,0,3
NM_000412.2,0,0,0,0,0,0,0,0,0,0
NM_000413.1,3,0,4,8,2,0,1,2,4,2
NM_000414.1,4,4,7,18,5,4,3,15,10,12
NM_000415.1,2,5,2,0,1,1,0,3,0,0
NM_000416.1,0,0,9,4,7,1,7,8,9,5
NM_000417.1,0,0,1,1,1,0,3,0,0,0
NM_000418.2,7,0,2,6,1,2,0,1,2,1
NM_000419.3,1,0,1,0,0,0,0,3,1,1
NM_000420.2,0,3,3,2,2,0,3,0,0,0
NM_000421.2,6,4,24,17,17,0,1,4,1,1
NM_000422.1,3,3,9,8,9,0,0,0,1,1
NM_000423.2,0,0,0,0,0,0,0,0,0,0
NM_000424.3,0,0,0,0,0,0,0,0,0,0
NM_000425.2,6,5,15,7,10,3,14,32,16,13
NM_000426.3,0,0,0,0,0,0,0,0,0,0
NM_000427.2,0,0,0,0,0,0,0,0,0,0
NM_000428.2,3,1,2,1,2,1,0,0,2,2
NM_000429.2,0,1,6,0,1,0,0,0,0,0
NM_000430.2,8,11,22,16,8,6,33,51,35,50
NM_000431.1,0,0,4,4,1,0,0,5,1,0
NM_000432.2,0,0,0,0,0,0,0,0,0,0
NM_000433.2,0,0,0,2,0,0,1,0,0,0
NM_000434.2,2,0,17,7,5,0,0,3,0,4
NM_000435.2,6,4,7,7,4,0,0,5,2,2
NM_000436.3,5,2,10,21,9,1,7,14,26,14
NM_000437.3,1,9,4,4,1,1,3,4,2,3
NM_000438.3,0,0,0,0,0,0,0,0,0,0
NM_000439.3,2,0,5,3,3,1,2,9,9,9
NM_000440.1,1,0,1,1,0,1,1,0,0,1
NM_000441.1,3,12,6,2,3,0,7,5,0,3
NM_000442.3,0,1,0,1,0,0,2,1,3,6
NM_000443.3,0,0,0,0,0,0,0,0,0,0
NM_000444.3,0,0,0,0,1,0,0,0,0,0
NM_000445.2,17,24,30,27,12,3,18,20,15,24
NM_000446.3,0,0,0,0,0,0,0,0,0,0
NM_000447.1,0,0,4,4,0,0,0,0,1,4
NM_000448.1,1,0,1,0,0,0,0,0,0,0
NM_000449.3,0,0,0,0,0,0,1,0,0,0
NM_000450.1,0,0,0,0,0,0,0,1,0,0
NM_000451.3,1,0,0,0,0,1,0,0,0,0
NM_000452.1,0,0,0,0,0,0,0,0,0,0
NM_000453.1,0,0,0,0,0,0,0,0,0,0
NM_000454.4,13,22,58,40,24,1,8,44,39,41
NM_000455.4,1,2,8,8,5,0,1,13,5,5
NM_000456.2,1,4,5,1,4,0,1,6,0,3
NM_000457.3,0,0,4,1,2,0,0,0,0,0
NM_000458.1,0,0,0,0,0,0,0,0,0,0
NM_000459.2,0,0,0,0,0,0,0,4,2,0
NM_000460.2,0,0,1,0,0,0,1,0,2,0
NM_000461.3,0,1,2,1,1,2,7,15,6,15
NM_000462.2,8,15,17,14,8,3,11,12,13,17
NM_000463.2,2,0,0,0,0,0,0,0,0,0
NM_000465.1,6,5,1,0,0,0,0,0,1,0
NM_000466.2,2,5,4,8,2,0,0,6,8,6
NM_000474.3,0,1,2,1,2,0,0,0,0,1
NM_000475.3,0,0,1,0,0,0,0,0,0,0
NM_000476.2,3,10,5,8,5,1,2,19,5,7
NM_000477.3,42,113,243,262,149,0,0,0,0,0
NM_000478.3,0,0,2,2,2,0,0,3,1,4
NM_000479.2,0,1,4,5,3,0,0,1,0,0
NM_000480.2,2,1,5,2,2,0,0,2,5,3
NM_000481.2,0,0,3,2,2,0,0,2,2,2
NM_000482.3,0,0,0,0,0,0,0,0,0,0
NM_000483.3,9,1,3,5,9,0,1,1,0,0
NM_000484.2,1,0,10,9,3,1,3,7,5,11
NM_000485.2,7,2,10,9,5,0,1,3,3,0
NM_000486.3,0,0,0,0,0,0,0,0,0,0
NM_000487.4,0,0,0,0,0,0,0,0,0,0
NM_000488.2,0,0,1,1,2,0,0,0,0,0
NM_000489.3,6,14,32,24,10,7,22,35,23,39
NM_000490.3,0,0,0,0,0,0,0,0,0,0
NM_000491.3,0,0,0,0,0,0,0,8,6,2
NM_000492.3,0,0,0,0,0,0,1,0,0,0
NM_000493.3,0,0,0,0,0,0,0,0,0,0
NM_000494.3,0,0,0,0,0,0,0,0,0,0
NM_000495.3,0,0,0,0,0,0,0,0,0,0
NM_000496.2,0,0,1,0,1,0,1,1,0,0
NM_000497.3,0,0,0,0,0,0,0,0,0,0
NM_000498.3,0,0,0,0,0,0,0,0,0,0
NM_000499.2,0,0,0,0,0,0,0,0,0,0
NM_000500.5,2,0,2,1,0,0,1,1,0,0
NM_000501.2,0,0,0,0,0,0,0,0,0,0
NM_000502.2,0,0,0,0,0,0,0,0,0,0
NM_000503.3,0,0,0,0,0,0,0,0,0,0
NM_000504.3,0,1,5,1,0,0,0,0,0,0
NM_000505.3,1,2,0,0,1,0,0,1,0,0
NM_000506.2,6,6,8,10,6,0,0,0,0,0
NM_000507.2,1,0,2,4,0,1,0,0,0,0
NM_000508.3,6,7,13,17,4,0,0,0,0,0
NM_000509.4,0,0,5,2,3,0,0,0,0,0
NM_000510.2,0,0,0,0,0,0,0,0,0,0
NM_000511.4,0,0,0,0,0,0,0,0,0,0
NM_000512.3,0,3,1,2,3,0,1,1,2,1
NM_000513.1,0,0,0,0,0,0,0,0,0,0
NM_000514.2,0,0,0,0,0,0,0,0,0,0
NM_000515.3,0,0,0,0,0,0,0,0,0,0
NM_000516.4,0,0,1,1,1,0,2,8,1,2
NM_000517.3,0,10,37,38,14,1,5,14,15,4
NM_000518.4,0,0,0,0,0,0,6,14,19,13
NM_000519.3,0,0,2,0,1,0,0,0,0,0
NM_000520.3,4,6,23,13,9,0,1,3,0,1
NM_000521.2,4,16,15,24,21,0,0,2,3,4
NM_000522.3,3,0,0,0,0,0,0,0,0,0
NM_000523.3,0,0,2,1,1,0,0,0,0,0
